#Folder,#Total_Energy (eV),#Num_Atoms,#Energy_per_atom (eV)
id357-dim3-aaa-cP152-1.20-9.05-8.43,-1451.19297175,152,-9.54732218256579
id293-dim2-hne-hne-oF32-1.93-9.07-8.49,-77.41990507,8,-9.67748813375
id481-dim3-aaa-cP176-1.08-9.01-8.41,-1676.29536154,176,-9.524405463295453
id1241-dim2-dhh-oP12-1.73-8.90-8.33,-114.68827455,12,-9.5573562125
id314-dim3-aaa-cP200-0.95-9.06-8.43,-1913.1799647,200,-9.5658998235
id85-dim3-aaa-oS48-2.10-9.17-8.67,-232.094107,24,-9.670587791666668
id378-dim3-aaa-cP128-1.32-9.04-8.42,-1223.05676045,128,-9.555130941015625
id1627-dim3-aaa-cF256-2.00-8.86-8.30,-599.54071169,64,-9.36782362015625
id1682-dim3-aaa-cI208-1.88-8.86-8.33,-970.01474435,104,-9.32706484951923
id854-dim2-jvh-mS16-1.68-8.94-8.35,-76.2671392,8,-9.5333924
id464-dim3-aaa-cI336-1.41-9.01-8.38,-1602.9181761,168,-9.541179619642858
id715-dim3-aaa-cP168-2.01-8.96-8.48,-1608.47515733,168,-9.574256888869048
id1636-dim3-aaa-cF960-1.21-8.86-8.22,-2237.87781388,240,-9.324490891166667
id458-dim3-aaa-cP240-1.30-9.02-8.40,-2305.48918669,240,-9.606204944541668
id382-dim3-aaa-cP152-1.21-9.04-8.42,-1451.45274204,152,-9.549031197631578
id480-dim3-aaa-cP116-1.44-9.01-8.41,-1107.85385109,116,-9.550464233534482
id1474-dim3-aaa-cI120-2.09-8.87-8.42,-570.41464274,60,-9.506910712333333
id1545-dim3-aaa-cP168-0.95-8.87-8.25,-1571.68508976,168,-9.355268391428572
id163-dim3-aaa-hP26-0.80-9.13-8.59,-252.59331724,26,-9.715127586153846
id377-dim3-aaa-cF480-1.24-9.04-8.44,-1147.59332888,120,-9.563277740666667
id66-dim2-hnd-hnd-oI48-2.03-9.19-8.64,-234.8791142,24,-9.786629758333333
id426-dim3-aaa-cP216-1.19-9.02-8.42,-2073.91838741,216,-9.601474015787037
id330-dim3-pbz-cP24-2.16-9.06-8.57,-232.65638988,24,-9.694016245
id80-dim3-mct-cI192-1.16-9.17-8.55,-933.81329049,96,-9.7272217759375
id618-dim3-aaa-cI168-1.92-8.98-8.45,-805.52682183,84,-9.589605021785715
